title,genre
When the Camellia Blooms,Romance
When the Camellia Blooms,Drama
Player,Action
Player,Thriller
Player,Mystery
Player,Comedy
See You in My 19th Life,Comedy
See You in My 19th Life,Romance
See You in My 19th Life,Drama
See You in My 19th Life,Fantasy
Yumi's Cells,Psychological
Yumi's Cells,Comedy
Yumi's Cells,Romance
Yumi's Cells,Drama
A Time Called You,Thriller
A Time Called You,Mystery
A Time Called You,Romance
A Time Called You,Fantasy
My Country: The New Age,Action
My Country: The New Age,Historical
My Country: The New Age,Romance
My Country: The New Age,Drama
Hello Monster,Thriller
Hello Monster,Mystery
Hello Monster,Psychological
Hello Monster,Drama
Tale of the Nine-Tailed,Thriller
Tale of the Nine-Tailed,Horror
Tale of the Nine-Tailed,Romance
Tale of the Nine-Tailed,Fantasy
Train,Thriller
Train,Mystery
Train,Fantasy
My Unfamiliar Family,Life
My Unfamiliar Family,Drama
The Veil,Action
The Veil,Thriller
The Veil,Mystery
The Veil,Crime
Memorist,Action
Memorist,Thriller
Memorist,Mystery
Memorist,Supernatural
Voice Season 3: City of Accomplices,Thriller
Voice Season 3: City of Accomplices,Mystery
Voice Season 3: City of Accomplices,Psychological
Voice Season 3: City of Accomplices,Supernatural
Military Prosecutor Doberman,Action
Military Prosecutor Doberman,Military
Military Prosecutor Doberman,Mystery
Military Prosecutor Doberman,Law
"From Now On, Showtime!",Mystery
"From Now On, Showtime!",Comedy
"From Now On, Showtime!",Romance
"From Now On, Showtime!",Fantasy
Mad Dog,Action
Mad Dog,Thriller
Mad Dog,Mystery
The Good Detective,Action
The Good Detective,Thriller
The Good Detective,Mystery
The Good Detective,Drama
Crash Course in Romance,Thriller
Crash Course in Romance,Mystery
Crash Course in Romance,Comedy
Crash Course in Romance,Romance
Amanza,Adventure
Amanza,Life
Amanza,Fantasy
Amanza,Melodrama
The Uncanny Counter Season 2: Counter Punch,Action
The Uncanny Counter Season 2: Counter Punch,Mystery
The Uncanny Counter Season 2: Counter Punch,Comedy
The Uncanny Counter Season 2: Counter Punch,Supernatural
Extraordinary You,Comedy
Extraordinary You,Romance
Extraordinary You,Youth
Extraordinary You,Fantasy
The Legend of the Blue Sea,Comedy
The Legend of the Blue Sea,Romance
The Legend of the Blue Sea,Drama
The Legend of the Blue Sea,Fantasy
I'm Not a Robot,Comedy
I'm Not a Robot,Romance
I'm Not a Robot,Drama
I'm Not a Robot,Sci-Fi
The World of the Married,Thriller
The World of the Married,Romance
The World of the Married,Drama
The World of the Married,Melodrama
Sell Your Haunted House,Thriller
Sell Your Haunted House,Mystery
Sell Your Haunted House,Comedy
Sell Your Haunted House,Fantasy
Lie After Lie,Thriller
Lie After Lie,Romance
Lie After Lie,Melodrama
Doctor Prisoner,Thriller
Doctor Prisoner,Law
Doctor Prisoner,Crime
Doctor Prisoner,Medical
Be Melodramatic,Comedy
Be Melodramatic,Romance
Be Melodramatic,Life
Be Melodramatic,Melodrama
Soundtrack #1,Music
Soundtrack #1,Romance
Team Bulldog: Off-Duty Investigation,Action
Team Bulldog: Off-Duty Investigation,Mystery
Team Bulldog: Off-Duty Investigation,Comedy
Team Bulldog: Off-Duty Investigation,Drama
Voice Season 4: Judgment Hour,Action
Voice Season 4: Judgment Hour,Thriller
Voice Season 4: Judgment Hour,Mystery
Voice Season 4: Judgment Hour,Supernatural
Extracurricular,Psychological
Extracurricular,Crime
Extracurricular,Youth
Extracurricular,Drama
The Mysterious Class,Mystery
The Mysterious Class,Horror
The Mysterious Class,Youth
The Mysterious Class,Supernatural
Come and Hug Me,Thriller
Come and Hug Me,Mystery
Come and Hug Me,Romance
Come and Hug Me,Melodrama
Her Private Life,Business
Her Private Life,Comedy
Her Private Life,Romance
Her Private Life,Drama
Mad Dog,Action
Mad Dog,Thriller
Mad Dog,Mystery
The Good Detective,Action
The Good Detective,Thriller
The Good Detective,Mystery
The Good Detective,Drama
Crash Course in Romance,Thriller
Crash Course in Romance,Mystery
Crash Course in Romance,Comedy
Crash Course in Romance,Romance
Amanza,Adventure
Amanza,Life
Amanza,Fantasy
Amanza,Melodrama
The Uncanny Counter Season 2: Counter Punch,Action
The Uncanny Counter Season 2: Counter Punch,Mystery
The Uncanny Counter Season 2: Counter Punch,Comedy
The Uncanny Counter Season 2: Counter Punch,Supernatural
Extraordinary You,Comedy
Extraordinary You,Romance
Extraordinary You,Youth
Extraordinary You,Fantasy
The Legend of the Blue Sea,Comedy
The Legend of the Blue Sea,Romance
