title,genres,where_to_watch
Children of Nobody,"Thriller, Mystery, Psychological, Drama",Kocowa
Law School,"Mystery, Law, Crime, Drama",Netflix
Ghost Doctor,"Comedy, Medical, Fantasy, Supernatural","Netflix, Viki, iQIYI, TVING, VIU Indonesia"
Welcome to Samdal-ri,"Comedy, Romance, Life, Drama",Netflix
Eulachacha Waikiki,"Comedy, Life, Youth, Drama","Netflix, WeTV, Viki, iflix, VIU Indonesia, Prime Video, Tubi"
Juvenile Justice,"Law, Drama",Netflix
All of Us Are Dead,"Action, Thriller, Horror, Sci-Fi",Netflix
Go Back Couple,"Comedy, Romance, Life, Fantasy","Netflix, Viki, iQIYI, VIU Indonesia, Kocowa"
My Liberation Notes,"Romance, Life, Drama, Melodrama","Netflix, TVING"
Duty after School: Part 1,"Action, Thriller, Drama, Sci-Fi","VIU Indonesia, Viki"
Once Again,"Comedy, Romance, Life, Drama","Apple TV, Netflix, Viki, VIU Indonesia, Kocowa"
Good Manager,"Business, Comedy, Crime, Drama","Netflix, Viki, Kocowa"
Big Mouth,"Thriller, Mystery, Law, Drama","Apple TV, Disney+ Hotstar, Disney+, Wavve, Hulu"
Stranger Season 2,"Thriller, Mystery, Law, Drama",Netflix
My Father Is Strange,"Comedy, Romance, Drama","Apple TV, Viki, KBS World, Kocowa"
Blind,"Thriller, Mystery, Drama","Apple TV, VIU Indonesia, TVING, Prime Video"
Vigilante,"Action, Thriller, Psychological, Crime","Disney+, Hulu"
Designated Survivor: 60 Days,"Thriller, Mystery, Drama, Political",Netflix
Bad and Crazy,"Action, Thriller, Mystery, Comedy","Netflix, iQIYI, TVING, Prime Video"
Money Heist: Korea - Joint Economic Area - Part 2,"Action, Thriller, Mystery, Crime",Netflix
Beautiful World,"Thriller, Mystery, Life, Melodrama","Disney+ Hotstar, Netflix"
Age of Youth,"Comedy, Romance, Life, Drama","Apple TV, Netflix, Prime Video, Viki"
Arthdal Chronicles Part 1: The Children of Prophecy,"Historical, Romance, Fantasy, Political",Netflix
Vagabond,"Action, Thriller, Mystery, Crime",Netflix
Rebel: Thief Who Stole the People,"Action, Thriller, Historical","Netflix, Viki, Kocowa"
Voice,"Thriller, Mystery, Psychological, Supernatural","Apple TV, iQIYI, Prime Video, VIU Indonesia, Tubi, Roku"
Reborn Rich,"Business, Drama, Fantasy, Political","Apple TV, Disney+, Viki, Netflix, TVING, VIU Indonesia"
"Hi Bye, Mama!","Drama, Family, Melodrama, Supernatural",Netflix
Avengers Social Club,"Comedy, Life, Drama","Apple TV, VIU Indonesia, Tubi"
