title,genres,where_to_watch
Yumi's Cells,"Psychological, Comedy, Romance, Drama",Viki
A Time Called You,"Thriller, Mystery, Romance, Fantasy",Netflix
My Country: The New Age,"Action, Historical, Romance, Drama",Netflix
Hello Monster,"Thriller, Mystery, Psychological, Drama",Apple TV
Tale of the Nine-Tailed,"Thriller, Horror, Romance, Fantasy",Netflix
Train,"Thriller, Mystery, Fantasy",Viki
My Unfamiliar Family,"Life, Drama",Apple TV
The Veil,"Action, Thriller, Mystery, Crime",Viki
Memorist,"Action, Thriller, Mystery, Supernatural",WeTV
Voice Season 3: City of Accomplices,"Thriller, Mystery, Psychological, Supernatural",Apple TV
Military Prosecutor Doberman,"Action, Military, Mystery, Law",Viki
"From Now On, Showtime!","Mystery, Comedy, Romance, Fantasy",Viki
Mad Dog,"Action, Thriller, Mystery",Apple TV
The Good Detective,"Action, Thriller, Mystery, Drama",Netflix
Crash Course in Romance,"Thriller, Mystery, Comedy, Romance",Netflix
Amanza,"Adventure, Life, Fantasy, Melodrama",Kakao TV
The Uncanny Counter Season 2: Counter Punch,"Action, Mystery, Comedy, Supernatural",TVING
Extraordinary You,"Comedy, Romance, Youth, Fantasy",WeTV
The Legend of the Blue Sea,"Comedy, Romance, Drama, Fantasy",Apple TV
I'm Not a Robot,"Comedy, Romance, Drama, Sci-Fi",Apple TV
The World of the Married,"Thriller, Romance, Drama, Melodrama",Disney+ Hotstar
Sell Your Haunted House,"Thriller, Mystery, Comedy, Fantasy",Netflix
Lie After Lie,"Thriller, Romance, Melodrama",Apple TV
Doctor Prisoner,"Thriller, Law, Crime, Medical",Apple TV
Be Melodramatic,"Comedy, Romance, Life, Melodrama",Apple TV
Soundtrack #1,"Music, Romance",Apple TV
Team Bulldog: Off-Duty Investigation,"Action, Mystery, Comedy, Drama",Viki
Voice Season 4: Judgment Hour,"Action, Thriller, Mystery, Supernatural",Apple TV
Extracurricular,"Psychological, Crime, Youth, Drama",Netflix
The Mysterious Class,"Mystery, Horror, Youth, Supernatural",
Come and Hug Me,"Thriller, Mystery, Romance, Melodrama",Netflix
Her Private Life,"Business, Comedy, Romance, Drama",Apple TV
Mad Dog,"Action, Thriller, Mystery",Apple TV
The Good Detective,"Action, Thriller, Mystery, Drama",Netflix
Crash Course in Romance,"Thriller, Mystery, Comedy, Romance",Netflix
Amanza,"Adventure, Life, Fantasy, Melodrama",Kakao TV
The Uncanny Counter Season 2: Counter Punch,"Action, Mystery, Comedy, Supernatural",TVING
Extraordinary You,"Comedy, Romance, Youth, Fantasy",WeTV
